country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kenya,75.1,80.6,82,87.4,94.3,99.3,120,130,130,131,142,143,144,155,168,179,191,172,187,209,212,237,
Kyrgyz Republic,82,84,91,125,144,177,207,191,197,213,213,233,307,331,316,303,303,316,268,251,269,302,
Cambodia,70.4,82,89.9,93.8,107,118,119,106,152,174,167,196,208,217,214,211,227,225,262,319,321,360,
Kiribati,129,182,181,166,191,188,190,194,234,223,151,144,152,174,183,161,205,225,270,257,342,346,
St. Kitts and Nevis,733,710,736,766,772,916,1020,1010,1270,1230,1220,1250,1160,1230,1260,1360,1520,1550,1500,1690,1590,1790,
South Korea,718,853,865,953,1020,1150,1310,1450,1590,1690,1880,1960,2050,2120,2270,2500,2710,2880,3220,3550,3730,4370,4950
Kuwait,1310,1880,1880,1930,1820,1710,1620,1760,1740,2170,2010,1840,1900,1880,2010,1950,2070,2330,2600,2640,2940,2910,
Lao,79.5,86.9,83.2,107,92,93.9,92.4,107,99,133,116,81.8,99.5,126,134,150,161,182,174,213,165,234,
Lebanon,849,864,787,753,773,761,899,979,978,960,1100,1240,1110,1100,1130,1140,1310,1390,1490,1550,901,528,
Liberia,27.8,22.7,23.8,18.4,47.8,55.6,49.5,37.3,53.8,110,101,99.6,89.9,90.4,115,128,132,157,154,119,247,260,
Libya,727,844,1000,942,839,701,666,749,692,1040,993,647,,,,,,,,,,,
St. Lucia,442,457,486,499,496,516,592,662,644,649,637,683,654,693,647,624,649,667,670,675,835,890,
Sri Lanka,176,188,196,183,217,226,247,266,287,311,311,327,341,405,397,442,467,451,515,558,560,609,
Lesotho,68.3,92.4,82.6,81.2,83.2,80.3,95.8,145,156,185,168,209,234,287,283,280,267,279,292,312,236,264,
Lithuania,522,565,642,743,714,812,957,1090,1300,1330,1350,1470,1540,1630,1740,1860,2040,2160,2370,2790,3010,3430,3710
Luxembourg,3290,3600,3980,4220,4740,4940,5270,5280,5730,6090,6080,5700,5180,5350,5570,5550,5810,5960,6210,6600,6940,7520,7540
Latvia,434,518,578,603,757,808,901,1000,1090,1030,1070,1090,1150,1220,1300,1410,1630,1700,1900,2170,2380,3150,
Morocco,146,163,179,192,212,230,263,291,312,352,375,394,396,398,393,397,397,401,415,434,472,516,
